,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
176,2011-11-13,1:02,BUF,DAL,L,7,44,L,4.5,O,49,2011
177,2011-11-20,1:02,BUF,MIA,L,8,35,L,3.0,U,44,2011
178,2011-11-27,1:02,BUF,NYJ,L,24,28,W,9.5,O,42.5,2011
179,2011-12-4,1:02,BUF,TEN,L,17,23,L,-1.0,U,44,2011
180,2011-12-11,4:15,BUF,LAC,L,10,37,L,7.0,U,49,2011
181,2011-12-18,1:02,BUF,MIA,L,23,30,L,-1.5,O,40.5,2011
182,2011-12-24,1:02,BUF,DEN,W,40,14,W,3.0,O,43.5,2011
183,2012-01-1,1:02,BUF,NWE,L,21,49,L,10.0,O,50,2012
184,2010-09-12,1:02,BUF,MIA,L,10,15,L,3.0,U,39,2010
185,2010-09-19,1:02,BUF,GBP,L,7,34,L,13.0,U,43,2010
186,2010-09-26,1:02,BUF,NWE,L,30,38,W,14.5,O,43,2010
187,2010-10-3,1:02,BUF,NYJ,L,14,38,L,6.0,O,37,2010
188,2010-10-10,1:02,BUF,JAX,L,26,36,L,-2.5,O,41.5,2010
189,2010-10-24,1:02,BUF,BAL,L,34,37,W,12.5,O,40,2010
190,2010-10-31,1:08,BUF,KAN,L,10,13,W,7.0,U,46,2010
191,2010-11-7,1:02,BUF,CHI,L,19,22,P,3.0,U,41.5,2010
192,2010-11-14,1:02,BUF,DET,W,14,12,W,-1.5,U,45,2010
193,2010-11-21,1:02,BUF,CIN,W,49,31,W,4.0,O,41,2010
194,2010-11-28,1:02,BUF,PIT,L,16,19,W,7.0,U,44,2010
195,2010-12-5,1:05,BUF,MIN,L,14,38,L,5.0,O,44,2010
196,2010-12-12,1:02,BUF,CLE,W,13,6,W,0.0,U,39,2010
197,2010-12-19,1:02,BUF,MIA,W,17,14,W,5.5,U,40,2010
198,2010-12-26,1:02,BUF,NWE,L,3,34,L,9.0,U,45.5,2010
199,2011-01-2,1:02,BUF,NYJ,L,7,38,L,1.5,O,38,2011
200,2021-09-12,1:00,BAL,PIT,L,16,23,L,-6.5,U,48.5,2021
201,2021-09-19,1:00,BAL,MIA,W,35,0,W,-3.5,U,47.5,2021
202,2021-09-26,1:00,BAL,WAS,W,43,21,W,-7.0,O,45.5,2021
203,2021-10-3,1:00,BAL,HOU,W,40,0,W,-17.5,U,47,2021
204,2021-10-10,8:20,BAL,KAN,W,38,20,W,2.5,O,56.5,2021
205,2021-10-18,8:15,BAL,TEN,L,31,34,L,-6.0,O,53.5,2021
206,2021-10-31,1:00,BAL,MIA,W,26,11,W,-14.0,U,49,2021
